R,G,B,H,S,V,Texture,label
181.36700439453125,182.7056884765625,156.71234130859375,84.27783203125,72.68939208984375,193.7000732421875,52.13713542022945,ripe
177.27081298828125,182.751708984375,159.10125732421875,81.95233154296875,71.19500732421875,192.133544921875,54.49926502074144,ripe
164.89190673828125,166.865478515625,140.33746337890625,81.70965576171875,82.52850341796875,179.34930419921875,48.27271734183307,ripe
142.56072998046875,145.6480712890625,131.0845947265625,73.537841796875,76.09124755859375,159.63055419921875,69.65860676822525,ripe
170.31988525390625,173.055419921875,136.58966064453125,76.77532958984375,88.37249755859375,181.64306640625,57.83970877475922,ripe
166.25933837890625,164.83184814453125,117.5740966796875,65.07135009765625,109.20953369140625,177.27667236328125,53.78754986911077,ripe
163.56060791015625,169.27886962890625,158.386474609375,85.63507080078125,76.8818359375,186.76104736328125,47.01914465648658,ripe
171.04736328125,175.8671875,166.03570556640625,85.948486328125,66.0531005859375,191.09869384765625,49.12469715003604,ripe
160.66522216796875,166.60565185546875,151.1651611328125,85.07049560546875,82.0999755859375,183.6307373046875,43.89739578736065,ripe
169.12786865234375,168.98773193359375,124.474609375,75.08465576171875,100.45855712890625,180.37652587890625,52.1985188975009,ripe
119.95135498046875,119.7764892578125,100.09698486328125,55.26983642578125,115.94970703125,142.4525146484375,50.502257327720734,ripe
169.9381103515625,161.2081298828125,136.378662109375,71.74798583984375,70.2322998046875,174.91595458984375,59.271856903865206,ripe
111.846923828125,100.51129150390625,79.252685546875,58.09735107421875,49.54296875,114.334716796875,47.872564232870936,ripe
163.9794921875,166.5472412109375,121.48638916015625,70.0478515625,104.75408935546875,174.84173583984375,62.48435482235305,ripe
115.45135498046875,79.41107177734375,104.66387939453125,123.7833251953125,113.5010986328125,119.1978759765625,48.88405162853983,ripe
166.69195556640625,168.88848876953125,131.1807861328125,75.2308349609375,98.3616943359375,181.1688232421875,51.79524792237655,ripe
115.6163330078125,108.3343505859375,87.23388671875,79.4256591796875,42.97320556640625,118.3924560546875,49.276502290384585,ripe
166.73040771484375,168.34698486328125,144.53564453125,85.69525146484375,75.155517578125,179.20574951171875,51.13640314344631,ripe
173.3564453125,177.224365234375,169.3570556640625,90.03204345703125,55.35882568359375,189.9730224609375,43.69276256073252,ripe
168.32305908203125,172.1175537109375,151.98797607421875,79.45526123046875,87.757080078125,189.59710693359375,49.91992465223936,ripe
177.4166259765625,179.96649169921875,173.789306640625,91.5023193359375,54.21746826171875,193.5767822265625,47.62752178708182,ripe
102.6710205078125,102.5675048828125,89.79998779296875,83.72296142578125,83.23333740234375,119.45416259765625,49.14122219500697,ripe
169.026611328125,173.72021484375,159.8748779296875,90.21514892578125,60.425048828125,184.5667724609375,41.56425364098368,ripe
141.328369140625,120.19976806640625,98.913818359375,106.059814453125,87.61138916015625,141.630615234375,46.62520339915044,ripe
127.97021484375,127.5970458984375,107.5963134765625,55.25897216796875,108.38677978515625,149.62152099609375,49.61398146955258,ripe
209.75,211.1068115234375,201.39923095703125,85.25750732421875,36.2310791015625,220.56341552734375,31.456209281497102,ripe
175.6854248046875,179.1103515625,170.56817626953125,86.26031494140625,57.74951171875,192.18505859375,51.71756583477949,ripe
165.5924072265625,169.756591796875,163.1141357421875,90.225830078125,59.2320556640625,183.392333984375,44.45849561549942,ripe
104.7847900390625,86.8367919921875,52.48492431640625,87.0560302734375,74.65069580078125,106.6593017578125,63.5403098784887,ripe
110.2081298828125,97.20111083984375,69.19793701171875,71.0279541015625,72.28985595703125,115.88714599609375,60.1721060337428,ripe
213.82098388671875,215.22320556640625,206.75360107421875,90.47491455078125,30.43927001953125,222.9293212890625,30.974433345982565,ripe
164.532470703125,170.066162109375,161.14447021484375,85.25518798828125,66.70611572265625,184.86968994140625,50.481726684100856,ripe
133.92559814453125,92.82403564453125,100.63067626953125,132.62823486328125,108.3121337890625,134.7559814453125,47.5914867099073,ripe
164.68475341796875,170.043701171875,160.7850341796875,85.880615234375,70.3553466796875,185.911865234375,50.161558042383476,ripe
139.6640625,142.55548095703125,131.70367431640625,59.012451171875,93.376220703125,167.01531982421875,41.79568529329321,ripe
181.28424072265625,182.63134765625,156.63934326171875,84.28009033203125,72.7779541015625,193.613037109375,52.24566944346937,ripe
169.14398193359375,173.90045166015625,163.15521240234375,85.125244140625,68.28497314453125,189.53704833984375,44.79873899153079,ripe
170.356689453125,171.59918212890625,136.87164306640625,77.2855224609375,81.655029296875,180.209716796875,51.70614150057488,ripe
98.95965576171875,101.0474853515625,93.046630859375,54.8583984375,48.68963623046875,109.1519775390625,87.99309526681908,ripe
